case_id,year,month,age,gender,division,relation_to_accused,mode_of_abduction,outcome
C0001,2026,8,10,Female,Dhaka,Family friend/acquaintance,Ransom abduction,Rescued/Recovered
C0002,2024,12,6,Female,Dhaka,Stranger,Taken from home,Rescued/Recovered
C0003,2025,6,11,Female,Rajshahi,Stranger,Taken from public place,Rescued/Recovered
C0004,2025,7,12,Female,Dhaka,Stranger,Lured/deceived,Deceased
C0005,2025,5,3,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0006,2024,11,5,Male,Mymensingh,Relative,Lured/deceived,Deceased
C0007,2024,6,9,Female,Mymensingh,Relative,Ransom abduction,Deceased
C0008,2026,8,8,Female,Barishal,Neighbor,Taken from public place,Still missing
C0009,2025,6,9,Female,Dhaka,Neighbor,Taken from home,Rescued/Recovered
C0010,2024,6,6,Female,Rajshahi,Relative,Ransom abduction,Rescued/Recovered
C0011,2024,8,12,Female,Khulna,Neighbor,Lured/deceived,Rescued/Recovered
C0012,2025,6,11,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Still missing
C0013,2024,11,9,Female,Rajshahi,Stranger,Lured/deceived,Rescued/Recovered
C0014,2026,6,13,Female,Dhaka,Neighbor,Trafficking suspected,Deceased
C0015,2026,7,10,Male,Dhaka,Relative,Taken from public place,Rescued/Recovered
C0016,2024,6,6,Male,Chattogram,Stranger,Taken from public place,Still missing
C0017,2025,6,10,Female,Dhaka,Stranger,Lured/deceived,Rescued/Recovered
C0018,2024,6,6,Female,Dhaka,Stranger,Lured/deceived,Rescued/Recovered
C0019,2025,3,12,Male,Sylhet,Relative,Taken from public place,Rescued/Recovered
C0020,2026,2,9,Female,Mymensingh,Stranger,Taken from home,Rescued/Recovered
C0021,2025,7,8,Male,Chattogram,Neighbor,Trafficking suspected,Rescued/Recovered
C0022,2026,7,7,Male,Sylhet,Relative,Ransom abduction,Rescued/Recovered
C0023,2024,7,13,Male,Mymensingh,Neighbor,Taken from home,Rescued/Recovered
C0024,2025,1,9,Male,Dhaka,Relative,Ransom abduction,Rescued/Recovered
C0025,2025,5,8,Female,Chattogram,Relative,Trafficking suspected,Rescued/Recovered
C0026,2025,4,8,Female,Dhaka,Neighbor,Taken from home,Deceased
C0027,2026,9,11,Female,Dhaka,Stranger,Taken from public place,Rescued/Recovered
C0028,2024,10,10,Female,Khulna,Relative,Trafficking suspected,Rescued/Recovered
C0029,2026,4,10,Female,Chattogram,Neighbor,Lured/deceived,Rescued/Recovered
C0030,2026,7,10,Male,Chattogram,Neighbor,Ransom abduction,Rescued/Recovered
C0031,2025,3,16,Female,Dhaka,Relative,Lured/deceived,Rescued/Recovered
C0032,2025,5,8,Female,Dhaka,Relative,Taken from public place,Rescued/Recovered
C0033,2025,3,7,Male,Rangpur,Relative,Ransom abduction,Deceased
C0034,2025,5,6,Female,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0035,2026,7,11,Female,Dhaka,Stranger,Taken from home,Still missing
C0036,2025,11,13,Male,Dhaka,Domestic worker/employer,Taken from public place,Rescued/Recovered
C0037,2026,4,9,Female,Chattogram,Relative,Lured/deceived,Rescued/Recovered
C0038,2026,6,6,Female,Chattogram,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0039,2025,8,6,Female,Chattogram,Stranger,Lured/deceived,Rescued/Recovered
C0040,2026,12,11,Male,Dhaka,Domestic worker/employer,Taken from public place,Rescued/Recovered
