case_id,year,month,age,gender,division,relation_to_accused,mode_of_abduction,outcome,age_group,cluster,high_risk
C0001,2026,8,10,Female,Dhaka,Family friend/acquaintance,Ransom abduction,Rescued/Recovered,10-13,0,0
C0002,2024,12,6,Female,Dhaka,Stranger,Taken from home,Rescued/Recovered,6-9,0,0
C0003,2025,6,11,Female,Rajshahi,Stranger,Taken from public place,Rescued/Recovered,10-13,2,0
C0004,2025,7,12,Female,Dhaka,Stranger,Lured/deceived,Deceased,10-13,0,1
C0005,2025,5,3,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered,0-5,0,0
C0006,2024,11,5,Male,Mymensingh,Relative,Lured/deceived,Deceased,0-5,3,1
C0007,2024,6,9,Female,Mymensingh,Relative,Ransom abduction,Deceased,6-9,0,1
C0008,2026,8,8,Female,Barishal,Neighbor,Taken from public place,Still missing,6-9,1,1
C0009,2025,6,9,Female,Dhaka,Neighbor,Taken from home,Rescued/Recovered,6-9,1,0
C0010,2024,6,6,Female,Rajshahi,Relative,Ransom abduction,Rescued/Recovered,6-9,2,0
C0011,2024,8,12,Female,Khulna,Neighbor,Lured/deceived,Rescued/Recovered,10-13,0,0
C0012,2025,6,11,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Still missing,10-13,0,1
C0013,2024,11,9,Female,Rajshahi,Stranger,Lured/deceived,Rescued/Recovered,6-9,0,0
C0014,2026,6,13,Female,Dhaka,Neighbor,Trafficking suspected,Deceased,10-13,1,1
C0015,2026,7,10,Male,Dhaka,Relative,Taken from public place,Rescued/Recovered,10-13,3,0
C0016,2024,6,6,Male,Chattogram,Stranger,Taken from public place,Still missing,6-9,3,1
C0017,2025,6,10,Female,Dhaka,Stranger,Lured/deceived,Rescued/Recovered,10-13,0,0
C0018,2024,6,6,Female,Dhaka,Stranger,Lured/deceived,Rescued/Recovered,6-9,0,0
C0019,2025,3,12,Male,Sylhet,Relative,Taken from public place,Rescued/Recovered,10-13,2,0
C0020,2026,2,9,Female,Mymensingh,Stranger,Taken from home,Rescued/Recovered,6-9,1,0
C0021,2025,7,8,Male,Chattogram,Neighbor,Trafficking suspected,Rescued/Recovered,6-9,3,0
C0022,2026,7,7,Male,Sylhet,Relative,Ransom abduction,Rescued/Recovered,6-9,2,0
C0023,2024,7,13,Male,Mymensingh,Neighbor,Taken from home,Rescued/Recovered,10-13,3,0
C0024,2025,1,9,Male,Dhaka,Relative,Ransom abduction,Rescued/Recovered,6-9,3,0
C0025,2025,5,8,Female,Chattogram,Relative,Trafficking suspected,Rescued/Recovered,6-9,1,0
C0026,2025,4,8,Female,Dhaka,Neighbor,Taken from home,Deceased,6-9,1,1
C0027,2026,9,11,Female,Dhaka,Stranger,Taken from public place,Rescued/Recovered,10-13,1,0
C0028,2024,10,10,Female,Khulna,Relative,Trafficking suspected,Rescued/Recovered,10-13,1,0
C0029,2026,4,10,Female,Chattogram,Neighbor,Lured/deceived,Rescued/Recovered,10-13,0,0
C0030,2026,7,10,Male,Chattogram,Neighbor,Ransom abduction,Rescued/Recovered,10-13,3,0
C0031,2025,3,16,Female,Dhaka,Relative,Lured/deceived,Rescued/Recovered,14-17,0,0
C0032,2025,5,8,Female,Dhaka,Relative,Taken from public place,Rescued/Recovered,6-9,1,0
C0033,2025,3,7,Male,Rangpur,Relative,Ransom abduction,Deceased,6-9,2,1
C0034,2025,5,6,Female,Dhaka,Neighbor,Taken from public place,Rescued/Recovered,6-9,1,0
C0035,2026,7,11,Female,Dhaka,Stranger,Taken from home,Still missing,10-13,1,1
C0036,2025,11,13,Male,Dhaka,Domestic worker/employer,Taken from public place,Rescued/Recovered,10-13,3,0
C0037,2026,4,9,Female,Chattogram,Relative,Lured/deceived,Rescued/Recovered,6-9,0,0
