metric,period,value,source
Total children reported missing,Jan-Jul 2026,15917,Police Headquarters / ISHR
Average missing children per day,Jan-Jul 2026,75,Police Headquarters / ISHR
Children killed,Jan-Aug 2026,155,Human rights org (Dhaka Tribune)
Children reported missing (year to date),Jan-Aug 2026,15000,Human rights org (Dhaka Tribune)
Children still untraced,Jan-Aug 2026,2038,Human rights org (Dhaka Tribune)
Children traced/recovered,Jan-Aug 2026,13679,Human rights org (Dhaka Tribune)
Missing children reported,May 2026,256,ISHR
Missing children reported,June 2026,3163,ISHR
Missing children reported,July 2026,311,ISHR
Abduction cases,2021,445,Police statistics (Bonikbarta)
Abduction cases,2022,463,Police statistics (Bonikbarta)
Abduction cases,2023,463,Police statistics (Bonikbarta)
Abduction cases,2024,642,Police statistics (Bonikbarta)
Abduction cases,2025 (last year),1005,Police statistics (Bonikbarta)
Abduction cases by division,Dhaka,403,Police statistics (Bonikbarta)
Abduction cases by division,Chattogram,203,Police statistics (Bonikbarta)
Abduction cases by division,Other divisions,399,Police statistics (Bonikbarta)
